;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
authors;9;0;0;0;0;9;9;9;9;9;9;9;9;9;9;9;
frbcat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
frbs;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
frbs_have_publications;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;
frbs_notes;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
observations;8;0;0;0;0;8;9;9;9;9;9;9;9;9;9;9;
observations_have_publications;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;
observations_notes;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
publications;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
radio_images;4;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;
radio_images_have_radio_measured_params;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;
radio_measured_params;33;0;0;0;0;33;32;32;33;37;36;39;38;38;38;38;
radio_measured_params_have_publications;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;
radio_measured_params_notes;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
radio_observations_params;21;0;0;0;0;22;24;24;24;24;24;24;25;24;24;24;
radio_observations_params_have_publications;2;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;
radio_observations_params_notes;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;
