trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;contact_email;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;contact_name;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;contact_phone;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;ivorn;VARCHAR(255);false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;logo_url;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;other_information;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;short_name;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;authors;Deletion:DeleteTable;title;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;1;1477651676.sql;1478089666.sql;frbs;Deletion:DeleteTable;author_id;INTUNSIGNED;false;0;id@authors
1;1477651676.sql;1478089666.sql;frbs;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;frbs;Deletion:DeleteTable;name;VARCHAR(255);false;0;-
1;1477651676.sql;1478089666.sql;frbs;Deletion:DeleteTable;private;TINYINT;false;0;-
1;1477651676.sql;1478089666.sql;frbs;Deletion:DeleteTable;utc;DATETIME;false;0;-
1;1477651676.sql;1478089666.sql;frbs_have_publications;Deletion:DeleteTable;frb_id;INTUNSIGNED;true;0;id@frbs
1;1477651676.sql;1478089666.sql;frbs_have_publications;Deletion:DeleteTable;pub_id;INTUNSIGNED;true;0;id@publications
1;1477651676.sql;1478089666.sql;frbs_notes;Deletion:DeleteTable;author;VARCHAR(32);false;0;-
1;1477651676.sql;1478089666.sql;frbs_notes;Deletion:DeleteTable;frb_id;INTUNSIGNED;false;0;id@frbs
1;1477651676.sql;1478089666.sql;frbs_notes;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;frbs_notes;Deletion:DeleteTable;last_modified;TIMESTAMP;false;0;-
1;1477651676.sql;1478089666.sql;frbs_notes;Deletion:DeleteTable;note;LONGTEXT;false;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;author_id;INTUNSIGNED;false;0;id@authors
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;data_link;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;detected;TINYINT;false;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;frb_id;INTUNSIGNED;false;0;id@frbs
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;telescope;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;type;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;observations;Deletion:DeleteTable;utc;DATETIME;false;0;-
1;1477651676.sql;1478089666.sql;observations_have_publications;Deletion:DeleteTable;obs_id;INTUNSIGNED;true;0;id@observations
1;1477651676.sql;1478089666.sql;observations_have_publications;Deletion:DeleteTable;pub_id;INTUNSIGNED;true;0;id@publications
1;1477651676.sql;1478089666.sql;observations_notes;Deletion:DeleteTable;author;VARCHAR(32);false;0;-
1;1477651676.sql;1478089666.sql;observations_notes;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;observations_notes;Deletion:DeleteTable;last_modified;TIMESTAMP;false;0;-
1;1477651676.sql;1478089666.sql;observations_notes;Deletion:DeleteTable;note;LONGTEXT;false;0;-
1;1477651676.sql;1478089666.sql;observations_notes;Deletion:DeleteTable;obs_id;INTUNSIGNED;false;0;id@observations
1;1477651676.sql;1478089666.sql;publications;Deletion:DeleteTable;description;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;publications;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;publications;Deletion:DeleteTable;link;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;publications;Deletion:DeleteTable;reference;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;publications;Deletion:DeleteTable;type;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;radio_images;Deletion:DeleteTable;caption;LONGTEXT;false;0;-
1;1477651676.sql;1478089666.sql;radio_images;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;radio_images;Deletion:DeleteTable;image;LONGBLOB;false;0;-
1;1477651676.sql;1478089666.sql;radio_images;Deletion:DeleteTable;title;TEXT;false;0;-
1;1477651676.sql;1478089666.sql;radio_images_have_radio_measured_params;Deletion:DeleteTable;radio_image_id;INTUNSIGNED;true;0;id@radio_images
1;1477651676.sql;1478089666.sql;radio_images_have_radio_measured_params;Deletion:DeleteTable;rmp_id;INTUNSIGNED;true;0;id@radio_measured_params
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;author_id;INTUNSIGNED;false;0;id@authors
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;circular_poln_frac;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;circular_poln_frac_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;dm;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;dm_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;dm_index;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;dm_index_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;flux;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;flux_calibrated;TINYINT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;flux_error_lower;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;flux_error_upper;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;flux_prefix;TINYTEXT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;id;INTUNSIGNEDAUTO_INCREMENT;true;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;linear_poln_frac;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;linear_poln_frac_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;rank;INT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;rop_id;INTUNSIGNED;false;0;id@radio_observations_params
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;scattering_index;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;scattering_index_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;scattering_time;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;scattering_time_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;snr;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;spectral_index;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;spectral_index_error;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;voevent_ivorn;VARCHAR(255);false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;voevent_xml;LONGTEXT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;width;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;width_error_lower;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;width_error_upper;FLOAT;false;0;-
1;1477651676.sql;1478089666.sql;radio_measured_params;Deletion:DeleteTable;z_phot;FLOAT;false;0;-
