trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1442640296.sql;1442726473.sql;user_email;Insertion:UpdateTable;has_bound;TINYINT(4);false;0;-
1;1442640296.sql;1442726473.sql;user_email;Insertion:UpdateTable;user_id;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_email;Deletion:UpdateTable;userid;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_phone;Insertion:UpdateTable;has_bound;TINYINT(4);false;0;-
1;1442640296.sql;1442726473.sql;user_phone;Insertion:UpdateTable;user_id;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_phone;Deletion:UpdateTable;userid;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_qq;Insertion:UpdateTable;has_bound;TINYINT(4);false;0;-
1;1442640296.sql;1442726473.sql;user_qq;Insertion:UpdateTable;user_id;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_qq;Deletion:UpdateTable;userid;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_wechat;Insertion:UpdateTable;has_bound;TINYINT(4);false;0;-
1;1442640296.sql;1442726473.sql;user_wechat;Insertion:UpdateTable;user_id;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_wechat;Deletion:UpdateTable;userid;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_weibo;Insertion:UpdateTable;has_bound;TINYINT(4);false;0;-
1;1442640296.sql;1442726473.sql;user_weibo;Insertion:UpdateTable;user_id;BIGINT(20);false;0;-
1;1442640296.sql;1442726473.sql;user_weibo;Deletion:UpdateTable;userid;BIGINT(20);false;0;-
2;1442726473.sql;1442727243.sql;user;Insertion:UpdateTable;has_fixed;TINYINT(4);false;0;-
3;1442727243.sql;1442729598.sql;user;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?Å›ºÅ®ŠÏ¼ŒÄ¸?Å›ºÅ®ŠÇŠ„Å¸?Å?·È§†Ä¸ºÄ¸´Æ—¶Å¸?Å?·Ï¼ŒÄ¸?È?½Ç»‘Å®ŠÅ…¶Ä»–Å¸?Å?·';false;0;-
3;1442727243.sql;1442729598.sql;user;Insertion:UpdateTable;nickname;VARCHAR(255);false;0;-
3;1442727243.sql;1442729598.sql;user_email;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?ÅŒ¨USERÈ¡¨Ç»‘Å®ŠÄ¸€Ä¸ªÅ¸?Å?·Ï¼ŒÇ”¨Æˆ·Ç¡®È®¤Ç»‘Å®ŠÇŠ„Ã€‚';false;0;-
3;1442727243.sql;1442729598.sql;user_email;Insertion:UpdateTable;nickname;VARCHAR(255);false;0;-
3;1442727243.sql;1442729598.sql;user_phone;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?ÅŒ¨USERÈ¡¨Ç»‘Å®ŠÄ¸€Ä¸ªÅ¸?Å?·Ï¼ŒÇ”¨Æˆ·Ç¡®È®¤Ç»‘Å®ŠÇŠ„Ã€‚';false;0;-
3;1442727243.sql;1442729598.sql;user_phone;Insertion:UpdateTable;nickname;VARCHAR(255);false;0;-
3;1442727243.sql;1442729598.sql;user_qq;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?ÅŒ¨USERÈ¡¨Ç»‘Å®ŠÄ¸€Ä¸ªÅ¸?Å?·Ï¼ŒÇ”¨Æˆ·Ç¡®È®¤Ç»‘Å®ŠÇŠ„Ã€‚';false;0;-
3;1442727243.sql;1442729598.sql;user_qq;Insertion:UpdateTable;nickname;VARCHAR(255);false;0;-
3;1442727243.sql;1442729598.sql;user_wechat;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?ÅŒ¨USERÈ¡¨Ç»‘Å®ŠÄ¸€Ä¸ªÅ¸?Å?·Ï¼ŒÇ”¨Æˆ·Ç¡®È®¤Ç»‘Å®ŠÇŠ„Ã€‚';false;0;-
3;1442727243.sql;1442729598.sql;user_wechat;Insertion:UpdateTable;nickname;VARCHAR(255);false;0;-
3;1442727243.sql;1442729598.sql;user_weibo;Insertion:UpdateTable;COMMENT;'Æ˜¯Å?¦Å·²Ç»?ÅŒ¨USERÈ¡¨Ç»‘Å®ŠÄ¸€Ä¸ªÅ¸?Å?·Ï¼ŒÇ”¨Æˆ·Ç¡®È®¤Ç»‘Å®ŠÇŠ„Ã€‚';false;0;-
