trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1398883546.sql;1398921225.sql;-;-;-;-;-;-;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;date_added;TIMESTAMP;false;0;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;email;VARCHAR(255);false;0;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;fname;VARCHAR(255);false;0;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;id;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;lname;VARCHAR(255);false;0;-
2;1398921225.sql;1399064180.sql;ActivatedWarranties;Deletion:DeleteTable;part;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;date_added;DATETIME;false;0;-
2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;date_modifed;TIMESTAMP;false;0;-
2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;deleted;TINYINT(1);false;0;-
2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;id;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;name;VARCHAR(255);false;0;-
2;1398921225.sql;1399064180.sql;Survey;Deletion:DeleteTable;userID;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;answerID;INT;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;date_added;DATETIME;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;date_modified;TIMESTAMP;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;deleted;TINYINT(1);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;id;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;question;VARCHAR(500);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;surveyID;INT;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion;Deletion:DeleteTable;userID;INT;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;changeType;ENUM('NEW','EDIT','DELETE');false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;date;DATETIME;false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;id;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;new_answer;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;new_question;VARCHAR(500);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;new_survey;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;old_answer;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;old_question;VARCHAR(500);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;old_survey;INT(11);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;questionID;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;SurveyQuestion_Revisions;Deletion:DeleteTable;userID;INT;false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;changeType;ENUM('NEW','EDIT','DELETE');false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;date;DATETIME;false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;id;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;new_name;VARCHAR(500);false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;old_name;VARCHAR(500);false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;surveyID;INT(10);false;0;-
2;1398921225.sql;1399064180.sql;Survey_Revisions;Deletion:DeleteTable;userID;INT;false;0;-
3;1399064180.sql;1399387229.sql;-;-;-;-;-;-;-
4;1399387229.sql;1399560904.sql;-;-;-;-;-;-;-
5;1399560904.sql;1400011516.sql;-;-;-;-;-;-;-
6;1400011516.sql;1400179756.sql;-;-;-;-;-;-;-
