trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1399662584;1399486716.sql;1399662584.sql;0;0;0;0;0;0;0;0;0;0;0;0
2;1399664074;1399662584.sql;1399664074.sql;0;0;0;0;0;0;0;0;0;0;0;0
3;1399928152;1399664074.sql;1399928152.sql;0;0;0;0;0;0;0;0;0;0;0;0
4;1400182760;1399928152.sql;1400182760.sql;0;0;0;0;0;0;0;0;0;0;0;0
5;1400183684;1400182760.sql;1400183684.sql;0;0;0;0;0;0;0;0;0;0;0;0
6;1400185242;1400183684.sql;1400185242.sql;0;0;0;0;0;0;0;0;0;0;0;0
7;1400274472;1400185242.sql;1400274472.sql;0;0;0;0;0;0;0;0;0;0;0;0
8;1400623262;1400274472.sql;1400623262.sql;0;0;0;0;0;0;0;0;0;0;0;0
9;1400792264;1400623262.sql;1400792264.sql;0;0;0;0;0;0;0;0;0;0;0;0
10;1401296863;1400792264.sql;1401296863.sql;0;0;0;0;0;0;0;0;0;0;0;0
11;1402590554;1401296863.sql;1402590554.sql;0;0;0;0;0;0;0;0;0;0;0;0
12;1406306059;1402590554.sql;1406306059.sql;0;0;0;0;0;0;0;0;0;0;0;0
13;1407266680;1406306059.sql;1407266680.sql;0;0;0;0;0;0;0;0;0;0;0;0
14;1418329921;1407266680.sql;1418329921.sql;0;0;0;0;0;0;0;0;0;0;0;0
15;1418846809;1418329921.sql;1418846809.sql;0;0;0;0;0;0;0;0;0;0;0;0
16;1421167132;1418846809.sql;1421167132.sql;0;0;0;0;0;0;0;0;0;0;0;0
17;1421276188;1421167132.sql;1421276188.sql;0;0;0;0;0;0;0;0;0;0;0;0
18;1430262809;1421276188.sql;1430262809.sql;0;0;0;0;0;0;0;0;0;0;0;0
19;1433529832;1430262809.sql;1433529832.sql;0;0;0;0;0;0;0;0;0;0;0;0
20;1433530896;1433529832.sql;1433530896.sql;0;0;0;0;0;0;0;0;0;0;0;0
21;1433963469;1433530896.sql;1433963469.sql;0;0;0;0;0;0;0;0;0;0;0;0
22;1433964023;1433963469.sql;1433964023.sql;0;0;0;0;0;0;0;0;0;0;0;0
23;1438359809;1433964023.sql;1438359809.sql;0;0;0;0;0;0;0;0;0;0;0;0
24;1438961454;1438359809.sql;1438961454.sql;0;0;0;0;0;0;0;0;0;0;0;0
25;1444151245;1438961454.sql;1444151245.sql;0;0;0;0;0;0;0;0;0;0;0;0
