trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1399486716.sql;1399662584.sql;-;-;-;-;-;-;-
2;1399662584.sql;1399664074.sql;-;-;-;-;-;-;-
3;1399664074.sql;1399928152.sql;-;-;-;-;-;-;-
4;1399928152.sql;1400182760.sql;-;-;-;-;-;-;-
5;1400182760.sql;1400183684.sql;-;-;-;-;-;-;-
6;1400183684.sql;1400185242.sql;-;-;-;-;-;-;-
7;1400185242.sql;1400274472.sql;-;-;-;-;-;-;-
8;1400274472.sql;1400623262.sql;-;-;-;-;-;-;-
9;1400623262.sql;1400792264.sql;-;-;-;-;-;-;-
10;1400792264.sql;1401296863.sql;-;-;-;-;-;-;-
11;1401296863.sql;1402590554.sql;-;-;-;-;-;-;-
12;1402590554.sql;1406306059.sql;-;-;-;-;-;-;-
13;1406306059.sql;1407266680.sql;-;-;-;-;-;-;-
14;1407266680.sql;1418329921.sql;-;-;-;-;-;-;-
15;1418329921.sql;1418846809.sql;-;-;-;-;-;-;-
16;1418846809.sql;1421167132.sql;-;-;-;-;-;-;-
17;1421167132.sql;1421276188.sql;-;-;-;-;-;-;-
18;1421276188.sql;1430262809.sql;-;-;-;-;-;-;-
19;1430262809.sql;1433529832.sql;-;-;-;-;-;-;-
20;1433529832.sql;1433530896.sql;-;-;-;-;-;-;-
21;1433530896.sql;1433963469.sql;-;-;-;-;-;-;-
22;1433963469.sql;1433964023.sql;-;-;-;-;-;-;-
23;1433964023.sql;1438359809.sql;-;-;-;-;-;-;-
24;1438359809.sql;1438961454.sql;-;-;-;-;-;-;-
25;1438961454.sql;1444151245.sql;-;-;-;-;-;-;-
