table;dur;birth;death;chngs;s@s;s@e;sAvg
Announcement;2;0;1;0;3;3;3.0
DoneWithAnnouncement;2;0;1;0;2;2;2.0
Game;2;0;1;0;5;5;5.0
GameUser;2;0;1;0;7;7;7.0
Organization;2;0;1;0;3;3;3.0
OrganizationEmailDomain;2;0;1;0;2;2;2.0
User;2;0;1;3;23;26;24.5
UserHistory;2;0;1;0;6;6;6.0
UserNotification;2;0;1;0;6;6;6.0
alembic_version;6;41;46;0;1;1;1.0
badge;20;20;46;2;2;2;2.3
bot;45;2;46;16;11;13;11.822222
bot_history;45;2;46;20;8;9;8.955556
game;45;2;46;9;5;8;7.6222224
game_bot_stat;21;21;46;14;3;10;9.666667
game_participant;45;2;46;15;8;8;8.0
game_stat;21;21;46;10;5;5;5.0
game_view_stat;19;27;46;5;3;2;2.1578948
hackathon;31;16;46;10;7;10;8.193548
hackathon_participant;31;16;46;4;2;2;2.0
hackathon_snapshot;31;16;46;18;7;9;8.774194
halite_1_user;8;39;46;3;21;21;21.125
organization;45;2;46;6;2;4;3.511111
organization_email_domain;45;2;46;3;2;2;2.0
player;1;2;2;0;17;17;17.0
player_notification;1;2;2;0;6;6;6.0
user;44;3;46;16;17;18;17.90909
user_badge;20;20;46;4;5;5;5.0
user_notification;44;3;46;6;6;6;6.0
user_tier_history;17;25;46;4;4;4;4.0
