Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
Announcement	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	3	3	3	1	0	0	0	0		10	0	10
DoneWithAnnouncement	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	2	2	2	1	0	0	0	0		10	0	10
Game	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	5	5	5	1	0	0	0	0		10	0	10
GameUser	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	7	7	7	1	0	0	0	0		10	0	10
Organization	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	3	3	3	1	0	0	0	0		10	0	10
OrganizationEmailDomain	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	2	2	2	1	0	0	0	0		10	0	10
User	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	23	26	24.5	1.13	3	1	1.5	0.5	3	10	1	11
UserHistory	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	6	6	6	1	0	0	0	0		10	0	10
UserNotification	2	0	1	1	2017-06-29 19:26:10	2017-06-30 15:06:34	0	1	0	6	6	6	1	0	0	0	0		10	0	10
alembic_version	6	41	46	46	2017-10-06 20:22:10	2017-10-25 18:47:28	1	1	18	1	1	1	1	0	0	0	0		10	0	10
badge	20	20	46	46	2017-08-23 22:26:14	2017-10-25 18:47:28	1	1	62	2	2	2.3	1	2	2	0.1	0.1	1	10	1	11
bot	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	11	13	11.82	1.18	16	7	0.36	0.16	2.29	10	2	12
bot_history	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	8	9	8.96	1.12	20	7	0.44	0.16	2.86	10	2	12
game	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	5	8	7.62	1.6	9	6	0.2	0.13	1.5	10	2	12
game_bot_stat	21	21	46	46	2017-08-25 15:30:13	2017-10-25 18:47:28	1	1	61	3	10	9.67	3.33	14	2	0.67	0.1	7	10	2	12
game_participant	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	8	8	8	1	15	5	0.33	0.11	3	10	2	12
game_stat	21	21	46	46	2017-08-25 15:30:13	2017-10-25 18:47:28	1	1	61	5	5	5	1	10	2	0.48	0.1	5	10	2	12
game_view_stat	19	27	46	46	2017-08-30 20:40:31	2017-10-25 18:47:28	1	1	55	3	2	2.16	0.67	5	3	0.26	0.16	1.67	10	1	11
hackathon	31	16	46	46	2017-07-28 21:39:38	2017-10-25 18:47:28	1	1	88	7	10	8.19	1.43	10	4	0.32	0.13	2.5	10	2	12
hackathon_participant	31	16	46	46	2017-07-28 21:39:38	2017-10-25 18:47:28	1	1	88	2	2	2	1	4	2	0.13	0.06	2	10	1	11
hackathon_snapshot	31	16	46	46	2017-07-28 21:39:38	2017-10-25 18:47:28	1	1	88	7	9	8.77	1.29	18	4	0.58	0.13	4.5	10	2	12
halite_1_user	8	39	46	46	2017-10-01 15:21:12	2017-10-25 18:47:28	1	1	24	21	21	21.12	1	3	3	0.38	0.38	1	10	1	11
organization	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	2	4	3.51	2	6	5	0.13	0.11	1.2	10	2	12
organization_email_domain	45	2	46	46	2017-07-03 13:09:20	2017-10-25 18:47:28	1	1	114	2	2	2	1	3	2	0.07	0.04	1.5	10	1	11
player	1	2	2	2	2017-07-03 13:09:20	2017-07-03 13:09:20	1	1	0	17	17	17	1	0	0	0	0		10	0	10
player_notification	1	2	2	2	2017-07-03 13:09:20	2017-07-03 13:09:20	1	1	0	6	6	6	1	0	0	0	0		10	0	10
user	44	3	46	46	2017-07-03 15:04:19	2017-10-25 18:47:28	1	1	114	17	18	17.91	1.06	16	7	0.36	0.16	2.29	10	2	12
user_badge	20	20	46	46	2017-08-23 22:26:14	2017-10-25 18:47:28	1	1	62	5	5	5	1	4	2	0.2	0.1	2	10	1	11
user_notification	44	3	46	46	2017-07-03 15:04:19	2017-10-25 18:47:28	1	1	114	6	6	6	1	6	4	0.14	0.09	1.5	10	2	12
user_tier_history	17	25	46	46	2017-08-29 22:01:51	2017-10-25 18:47:28	1	1	56	4	4	4	1	4	2	0.24	0.12	2	10	1	11
